SampleID,Barcode,Feeding,Diet,Tissue
3090-E,IonXpress_RNA_026,Fasted,Control Diet,eWAT
3153-E,IonXpress_RNA_027,Fasted,Control Diet,eWAT
3154-E,IonXpress_RNA_028,Fed,Control Diet,eWAT
3155-E,IonXpress_RNA_029,Fed,Control Diet,eWAT
3157-E,IonXpress_RNA_030,Fasted,Control Diet,eWAT
3162-E,IonXpress_RNA_031,Fed,Control Diet,eWAT
3163-E,IonXpress_RNA_032,Fasted,Control Diet,eWAT
3164-E,IonXpress_RNA_033,Fasted,Control Diet,eWAT
3165-E,IonXpress_RNA_034,Fasted,Control Diet,eWAT
3167-E,IonXpress_RNA_035,Fed,Control Diet,eWAT
3106-E,IonXpress_RNA_036,Fasted,High Fat Diet,eWAT
3156-E,IonXpress_RNA_037,Fed,High Fat Diet,eWAT
3158-E,IonXpress_RNA_038,Fasted,High Fat Diet,eWAT
3159-E,IonXpress_RNA_039,Fasted,High Fat Diet,eWAT
3160-E,IonXpress_RNA_040,Fasted,High Fat Diet,eWAT
3161-E,IonXpress_RNA_041,Fed,High Fat Diet,eWAT
3166-E,IonXpress_RNA_042,Fed,High Fat Diet,eWAT
3168-E,IonXpress_RNA_043,Fasted,High Fat Diet,eWAT
3169-E,IonXpress_RNA_044,Fed,High Fat Diet,eWAT
3090-Q,IonXpress_RNA_045,Fasted,Control Diet,Quadriceps
3153-Q,IonXpress_RNA_046,Fasted,Control Diet,Quadriceps
3154-Q,IonXpress_RNA_47,Fed,Control Diet,Quadriceps
3155-Q,IonXpress_RNA_48,Fed,Control Diet,Quadriceps
3157-Q,IonXpress_RNA_49,Fasted,Control Diet,Quadriceps
3162-Q,IonXpress_RNA_50,Fed,Control Diet,Quadriceps
3163-Q,IonXpress_RNA_51,Fasted,Control Diet,Quadriceps
3164-Q,IonXpress_RNA_52,Fasted,Control Diet,Quadriceps
3165-Q,IonXpress_RNA_53,Fasted,Control Diet,Quadriceps
3167-Q,IonXpress_RNA_54,Fed,Control Diet,Quadriceps
3106-Q,IonXpress_RNA_55,Fasted,High Fat Diet,Quadriceps
3156-Q,IonXpress_RNA_56,Fed,High Fat Diet,Quadriceps
3158-Q,IonXpress_RNA_57,Fasted,High Fat Diet,Quadriceps
3159-Q,IonXpress_RNA_58,Fasted,High Fat Diet,Quadriceps
3160-Q,IonXpress_RNA_059,Fasted,High Fat Diet,Quadriceps
3161-Q,IonXpress_RNA_060,Fed,High Fat Diet,Quadriceps
3166-Q,IonXpress_RNA_061,Fed,High Fat Diet,Quadriceps
3168-Q,IonXpress_RNA_062,Fasted,High Fat Diet,Quadriceps
3169-Q,IonXpress_RNA_063,Fed,High Fat Diet,Quadriceps
3171-Q,IonXpress_RNA_064,Fasted,High Fat Diet,Quadriceps
